"","bat_flight","FA","num_buzz","dur_FA","rate"
"1","Viv12_2015-06-02_1",1,1,26,0.153846153846154
"2","Viv12_2015-06-02_1",2,0,11,0
"3","Viv12_2015-06-02_1",3,3,45,0.266666666666667
"4","Viv12_2015-06-02_1",4,0,13,0
"5","Viv12_2015-06-02_1",5,0,8,0
"6","Viv12_2015-06-03_1",1,3,35,0.342857142857143
"7","Viv12_2015-06-03_1",2,0,29,0
"8","Viv12_2015-06-03_1",3,0,38,0
"9","Viv12_2015-06-03_1",4,1,9,0.444444444444444
"10","Viv12_2015-06-03_1",5,2,21,0.380952380952381
"11","Viv12_2015-06-03_1",6,0,4,0
"12","Viv12_2015-06-03_1",7,4,33,0.484848484848485
"13","Viv12_2015-06-03_1",8,0,3,0
"14","Viv12_2015-06-03_1",9,0,4,0
"15","Viv12_2015-06-03_1",10,0,2,0
"16","Viv12_2015-06-03_1",11,1,10,0.4
"17","Viv12_2015-06-03_1",12,0,14,0
"18","Viv12_2015-06-03_1",13,0,2,0
"19","Viv12_2015-06-03_1",14,0,23,0
"20","Viv12_2015-06-03_1",15,0,2,0
"21","Viv12_2015-06-03_1",16,1,37,0.108108108108108
"22","Viv12_2015-06-03_1",17,0,16,0
"23","Viv12_2015-06-03_1",18,1,11,0.363636363636364
"24","Viv12_2015-06-03_1",19,1,13,0.307692307692308
"25","Viv12_2015-06-03_1",20,0,14,0
"26","Viv12_2015-06-03_1",21,0,10,0
"27","Viv12_2015-06-03_1",22,0,34,0
"28","Viv12_2015-06-03_1",23,6,24,1
"29","Viv12_2015-06-03_1",24,1,6,0.666666666666667
"30","Viv12_2015-06-03_1",25,1,18,0.222222222222222
"31","Viv12_2015-06-03_1",26,1,16,0.25
"32","Viv12_2015-06-03_1",27,2,20,0.4
"33","Viv12_2015-06-03_1",28,0,3,0
"34","Viv12_2015-06-03_1",29,1,2,2
"35","Viv14_2015-05-31_1",1,1,3,1.33333333333333
"36","Viv14_2015-05-31_1",2,3,13,0.923076923076923
"37","Viv14_2015-05-31_1",3,2,7,1.14285714285714
"38","Viv14_2015-05-31_1",4,3,5,2.4
"39","Viv14_2015-05-31_1",5,1,26,0.153846153846154
"40","Viv14_2015-05-31_1",6,0,5,0
"41","Viv14_2015-05-31_1",7,0,16,0
"42","Viv14_2015-05-31_1",8,2,45,0.177777777777778
"43","Viv14_2015-05-31_1",9,0,1,0
"44","Viv14_2015-05-31_1",10,0,8,0
"45","Viv14_2015-05-31_1",11,0,82,0
"46","Viv14_2015-05-31_1",12,0,24,0
"47","Viv14_2015-05-31_1",13,0,16,0
"48","Viv14_2015-05-31_1",14,0,7,0
"49","Viv14_2015-05-31_1",15,0,1,0
"50","Viv14_2015-06-01_1",1,5,66,0.303030303030303
"51","Viv14_2015-06-01_1",2,0,3,0
"52","Viv14_2015-06-01_1",3,3,29,0.413793103448276
"53","Viv15_2015-06-01_1",1,0,3,0
"54","Viv15_2015-06-01_1",2,0,8,0
"55","Viv15_2015-06-01_1",3,0,1,0
"56","Viv15_2015-06-01_1",4,0,2,0
"57","Viv15_2015-06-01_1",5,0,15,0
"58","Viv15_2015-06-01_1",6,0,3,0
"59","Viv15_2015-06-01_1",7,0,2,0
"60","Viv15_2015-06-01_1",8,11,33,1.33333333333333
"61","Viv15_2015-06-01_1",9,7,23,1.21739130434783
"62","Viv15_2015-06-01_1",10,7,12,2.33333333333333
"63","Viv15_2015-06-01_1",11,0,3,0
"64","Viv15_2015-06-01_1",12,0,27,0
"65","Viv15_2015-06-01_1",13,0,2,0
"66","Viv15_2015-06-01_1",14,0,1,0
"67","Viv16_2015-06-01_1",1,0,2,0
"68","Viv16_2015-06-01_1",2,2,11,0.727272727272727
"69","Viv16_2015-06-01_1",3,0,30,0
"70","Viv16_2015-06-01_1",4,0,5,0
"71","Viv16_2015-06-01_1",5,0,2,0
"72","Viv16_2015-06-01_1",6,1,1,4
"73","Viv16_2015-06-01_1",7,0,5,0
"74","Viv16_2015-06-01_1",8,2,16,0.5
"75","Viv16_2015-06-01_1",9,0,12,0
"76","Viv16_2015-06-01_1",10,0,2,0
"77","Viv16_2015-06-01_1",11,1,4,1
"78","Viv16_2015-06-01_1",12,3,28,0.428571428571429
"79","Viv16_2015-06-01_1",13,3,17,0.705882352941177
"80","Viv16_2015-06-01_1",14,2,26,0.307692307692308
"81","Viv16_2015-06-01_1",15,0,2,0
"82","Viv16_2015-06-01_1",16,0,2,0
"83","Viv16_2015-06-01_1",17,0,6,0
"84","Viv16_2015-06-01_1",18,1,5,0.8
"85","Viv16_2015-06-01_1",19,6,32,0.75
"86","Viv16_2015-06-01_1",20,0,3,0
"87","Viv16_2015-06-01_1",21,0,1,0
"88","Viv16_2015-06-01_1",22,1,66,0.0606060606060606
"89","Viv16_2015-06-01_1",23,0,8,0
"90","Viv16_2015-06-01_1",24,2,25,0.32
"91","Viv16_2015-06-01_1",25,0,28,0
"92","Viv16_2015-06-01_1",26,0,8,0
"93","Viv16_2015-06-01_1",27,0,2,0
"94","Viv16_2015-06-01_1",28,0,4,0
"95","Viv16_2015-06-01_1",29,0,4,0
"96","Viv16_2015-06-01_1",30,0,7,0
"97","Viv16_2015-06-01_1",31,0,3,0
"98","Viv16_2015-06-01_1",32,0,61,0
"99","Viv18_2015-06-04_1",1,0,3,0
"100","Viv18_2015-06-04_1",2,5,9,2.22222222222222
"101","Viv18_2015-06-04_1",3,4,7,2.28571428571429
"102","Viv18_2015-06-04_1",4,3,4,3
"103","Viv18_2015-06-04_1",5,22,57,1.54385964912281
"104","Viv18_2015-06-04_1",6,0,2,0
"105","Viv18_2015-06-04_1",7,14,14,4
"106","Viv18_2015-06-04_1",8,0,5,0
"107","Viv18_2015-06-04_1",9,3,10,1.2
"108","Viv18_2015-06-04_1",10,7,22,1.27272727272727
"109","Viv18_2015-06-04_1",11,0,1,0
"110","Viv18_2015-06-04_1",12,0,1,0
"111","Viv18_2015-06-04_1",13,1,2,2
"112","Viv18_2015-06-04_1",14,2,15,0.533333333333333
"113","Viv18_2015-06-04_1",15,1,4,1
"114","Viv18_2015-06-04_1",16,3,11,1.09090909090909
"115","Viv18_2015-06-04_1",17,0,2,0
"116","Viv18_2015-06-04_1",18,0,7,0
"117","Viv18_2015-06-04_1",19,13,43,1.2093023255814
"118","Viv18_2015-06-04_1",20,0,2,0
"119","Viv18_2015-06-04_1",21,0,6,0
"120","Viv18_2015-06-04_1",22,0,2,0
"121","Viv18_2015-06-04_1",23,0,3,0
"122","Viv18_2015-06-04_1",24,0,37,0
"123","Viv18_2015-06-04_1",25,0,4,0
"124","Viv18_2015-06-04_1",26,0,2,0
"125","Viv18_2015-06-04_1",27,0,1,0
"126","Viv18_2015-06-04_1",28,0,1,0
"127","Viv18_2015-06-04_1",29,0,2,0
"128","Viv18_2015-06-04_1",30,0,9,0
"129","Viv19_2015-06-03_1",1,3,8,1.5
"130","Viv19_2015-06-03_1",2,2,17,0.470588235294118
"131","Viv19_2015-06-03_1",3,13,32,1.625
"132","Viv19_2015-06-03_1",4,13,63,0.825396825396825
"133","Viv19_2015-06-03_1",5,5,15,1.33333333333333
"134","Viv19_2015-06-03_1",6,19,157,0.484076433121019
"135","Viv19_2015-06-03_1",7,0,5,0
"136","Viv21_2015-06-03_1",1,2,23,0.347826086956522
"137","Viv21_2015-06-03_1",2,0,2,0
"138","Viv21_2015-06-03_1",3,6,47,0.51063829787234
"139","Viv21_2015-06-03_1",4,0,2,0
"140","Viv21_2015-06-03_1",5,1,10,0.4
"141","Viv21_2015-06-03_1",6,2,23,0.347826086956522
"142","Viv21_2015-06-03_1",7,10,80,0.5
"143","Viv21_2015-06-03_1",8,0,6,0
"144","Viv24_2015-06-06_1",1,1,2,2
"145","Viv24_2015-06-06_1",2,1,4,1
"146","Viv24_2015-06-06_1",3,7,47,0.595744680851064
"147","Viv24_2015-06-06_1",4,2,19,0.421052631578947
"148","Viv24_2015-06-06_1",5,4,17,0.941176470588235
"149","Viv24_2015-06-06_1",6,5,53,0.377358490566038
"150","Viv24_2015-06-06_1",7,5,30,0.666666666666667
"151","Viv24_2015-06-06_1",8,1,41,0.0975609756097561
"152","Viv24_2015-06-06_1",9,0,32,0
"153","Viv24_2015-06-06_1",10,0,6,0
"154","Viv24_2015-06-06_1",11,3,11,1.09090909090909
"155","Viv24_2015-06-06_1",12,2,3,2.66666666666667
"156","Viv24_2015-06-06_1",13,0,2,0
"157","Viv24_2015-06-06_1",14,0,3,0
"158","Viv5_2015-05-28_1",1,0,11,0
"159","Viv5_2015-05-28_1",2,0,2,0
"160","Viv5_2015-05-28_1",3,11,40,1.1
"161","Viv5_2015-05-28_1",4,3,9,1.33333333333333
"162","Viv5_2015-05-28_1",5,3,6,2
"163","Viv5_2015-05-28_1",6,3,6,2
"164","Viv5_2015-05-28_1",7,18,61,1.18032786885246
"165","Viv5_2015-05-28_1",8,9,53,0.679245283018868
"166","Viv5_2015-05-28_1",9,6,20,1.2
"167","Viv5_2015-05-28_1",10,0,1,0
"168","Viv5_2015-05-28_1",11,9,44,0.818181818181818
"169","Viv5_2015-05-28_1",12,4,10,1.6
"170","Viv5_2015-05-28_1",13,2,6,1.33333333333333
"171","Viv6_2015-05-28_1",1,5,20,1
"172","Viv6_2015-05-28_1",2,8,45,0.711111111111111
"173","Viv6_2015-05-28_1",3,27,93,1.16129032258065
"174","Viv6_2015-05-28_1",4,6,35,0.685714285714286
"175","Viv6_2015-05-28_1",5,3,32,0.375
"176","Viv6_2015-05-28_1",6,3,65,0.184615384615385
"177","Viv6_2015-05-28_1",7,1,6,0.666666666666667
"178","Viv6_2015-05-28_1",8,0,2,0
"179","Viv6_2015-05-28_1",9,1,30,0.133333333333333
"180","Viv6_2015-05-28_1",10,0,7,0
"181","Viv6_2015-05-28_1",11,1,12,0.333333333333333
"182","Viv6_2015-05-28_1",12,0,3,0
"183","Viv6_2015-05-28_1",13,0,2,0
"184","Viv6_2015-05-28_1",14,0,2,0
"185","Viv6_2015-05-28_1",15,0,11,0
"186","Viv6_2015-05-28_1",16,0,4,0
"187","Viv6_2015-05-28_1",17,0,4,0
"188","Viv6_2015-05-28_1",18,0,4,0
"189","Viv6_2015-05-29_1",1,0,5,0
"190","Viv6_2015-05-29_1",2,13,64,0.8125
"191","Viv6_2015-05-29_1",3,4,19,0.842105263157895
"192","Viv6_2015-05-29_1",4,4,19,0.842105263157895
"193","Viv6_2015-05-29_1",5,1,6,0.666666666666667
"194","Viv6_2015-05-29_1",6,1,27,0.148148148148148
"195","Viv6_2015-05-29_1",7,4,23,0.695652173913043
"196","Viv6_2015-05-29_1",8,0,4,0
"197","Viv6_2015-05-29_1",9,0,11,0
"198","Viv6_2015-05-29_1",10,6,39,0.615384615384615
"199","Viv6_2015-05-29_1",11,2,44,0.181818181818182
"200","Viv6_2015-05-29_1",12,0,3,0
"201","Viv6_2015-05-29_1",13,0,4,0
"202","Viv6_2015-05-29_1",14,0,2,0
"203","Viv6_2015-05-29_1",15,0,3,0
"204","Viv6_2015-05-29_1",16,0,5,0
"205","Viv6_2015-05-29_1",17,0,3,0
"206","Viv6_2015-05-29_1",18,0,4,0
"207","Viv6_2015-05-29_1",19,0,1,0
"208","Viv6_2015-05-29_1",20,2,8,1
"209","Viv6_2015-05-29_1",21,0,5,0
"210","Viv6_2015-05-29_1",22,0,2,0
"211","Viv6_2015-05-29_1",23,0,1,0
"212","Viv6_2015-05-29_1",24,0,2,0
"213","Viv6_2015-05-29_1",25,3,12,1
"214","Viv6_2015-05-29_1",26,7,34,0.823529411764706
"215","Viv6_2015-05-29_1",27,0,3,0
"216","Viv8_2015-05-30_1",1,0,2,0
"217","Viv8_2015-05-30_1",2,12,93,0.516129032258065
"218","Viv8_2015-05-30_1",3,2,23,0.347826086956522
"219","Viv8_2015-05-30_1",4,1,19,0.210526315789474
"220","Viv8_2015-05-30_1",5,2,35,0.228571428571429
"221","Viv8_2015-05-30_1",6,1,4,1
"222","Viv8_2015-05-30_1",7,2,5,1.6
"223","Viv8_2015-05-30_1",8,0,13,0
"224","Viv8_2015-05-30_1",9,0,6,0
"225","Viv8_2015-05-30_1",10,0,7,0
"226","Viv8_2015-05-30_1",11,5,57,0.350877192982456
"227","Viv8_2015-05-30_1",12,2,20,0.4
"228","Viv8_2015-05-30_1",13,1,7,0.571428571428571
"229","Viv8_2015-05-30_1",14,1,2,2
"230","Viv8_2015-05-30_1",15,0,2,0
"231","Viv8_2015-06-01_1",1,0,4,0
"232","Viv8_2015-06-01_1",2,2,29,0.275862068965517
"233","Viv8_2015-06-01_1",3,0,2,0
"234","Viv8_2015-06-01_1",4,0,29,0
"235","Viv8_2015-06-01_1",5,1,11,0.363636363636364
"236","Viv8_2015-06-01_1",6,0,5,0
"237","Viv8_2015-06-01_1",7,0,4,0
"238","Viv8_2015-06-01_1",8,0,9,0
"239","Viv8_2015-06-01_1",9,1,21,0.19047619047619
"240","Viv8_2015-06-01_1",10,0,3,0
"241","Viv8_2015-06-01_1",11,0,4,0
"242","Viv8_2015-06-01_1",12,0,11,0
"243","Viv8_2015-06-01_1",13,0,14,0
"244","Viv8_2015-06-01_1",14,1,26,0.153846153846154
"245","Viv8_2015-06-01_1",15,0,17,0
"246","Viv8_2015-06-01_1",16,3,45,0.266666666666667
"247","Viv8_2015-06-01_1",17,0,2,0
"248","Viv8_2015-06-01_1",18,1,18,0.222222222222222
"249","Viv8_2015-06-01_1",19,4,52,0.307692307692308
"250","Viv8_2015-06-01_1",20,0,2,0
"251","Viv8_2015-06-01_1",21,2,35,0.228571428571429
"252","Viv8_2015-06-01_1",22,0,3,0
"253","Viv8_2015-06-01_1",23,0,1,0
"254","Viv8_2015-06-01_1",24,0,3,0
"255","Viv8_2015-06-01_1",25,0,5,0
"256","bat",NA,NA,NA,NA
"257","bat",NA,NA,NA,NA
"258","bat",NA,NA,NA,NA
"259","bat",NA,NA,NA,NA
"260","bat",NA,NA,NA,NA
"261","bat",NA,NA,NA,NA
"262","bat",NA,NA,NA,NA
"263","bat",NA,NA,NA,NA
"264","bat",NA,NA,NA,NA
"265","bat",NA,NA,NA,NA
"266","bat",NA,NA,NA,NA
"267","bat",NA,NA,NA,NA
"268","bat",NA,NA,NA,NA
"269","bat",NA,NA,NA,NA
"270","bat",NA,NA,NA,NA
"271","bat",NA,NA,NA,NA
"272","bat",NA,NA,NA,NA
"273","bat",NA,NA,NA,NA
"274","bat",NA,NA,NA,NA
"275","bat",NA,NA,NA,NA
"276","bat",NA,NA,NA,NA
"277","bat",NA,NA,NA,NA
"278","bat",NA,NA,NA,NA
"279","bat",NA,NA,NA,NA
"280","bat",NA,NA,NA,NA
"281","bat",NA,NA,NA,NA
"282","bat",NA,NA,NA,NA
"283","bat",NA,NA,NA,NA
"284","bat",NA,NA,NA,NA
"285","bat",NA,NA,NA,NA
"286","bat",NA,NA,NA,NA
"287","bat",NA,NA,NA,NA
"288","bat",NA,NA,NA,NA
"289","bat",NA,NA,NA,NA
"290","bat",NA,NA,NA,NA
"291","bat",NA,NA,NA,NA
"292","bat",NA,NA,NA,NA
"293","bat",NA,NA,NA,NA
"294","bat",NA,NA,NA,NA
"295","bat",NA,NA,NA,NA
"296","bat",NA,NA,NA,NA
"297","bat",NA,NA,NA,NA
"298","bat",NA,NA,NA,NA
"299","bat",NA,NA,NA,NA
"300","bat",NA,NA,NA,NA
"301","bat",NA,NA,NA,NA
"302","bat",NA,NA,NA,NA
"303","bat",NA,NA,NA,NA
"304","bat",NA,NA,NA,NA
"305","bat",NA,NA,NA,NA
"306","bat",NA,NA,NA,NA
"307","bat",NA,NA,NA,NA
"308","bat",NA,NA,NA,NA
"309","bat",NA,NA,NA,NA
"310","bat",NA,NA,NA,NA
"311","bat",NA,NA,NA,NA
"312","bat",NA,NA,NA,NA
"313","bat",NA,NA,NA,NA
"314","bat",NA,NA,NA,NA
"315","bat",NA,NA,NA,NA
"316","bat",NA,NA,NA,NA
"317","bat",NA,NA,NA,NA
"318","bat",NA,NA,NA,NA
"319","bat",NA,NA,NA,NA
"320","bat",NA,NA,NA,NA
"321","bat",NA,NA,NA,NA
"322","bat",NA,NA,NA,NA
"323","bat",NA,NA,NA,NA
"324","bat",NA,NA,NA,NA
"325","bat",NA,NA,NA,NA
"326","bat",NA,NA,NA,NA
"327","bat",NA,NA,NA,NA
"328","bat",NA,NA,NA,NA
"329","bat",NA,NA,NA,NA
"330","bat",NA,NA,NA,NA
"331","bat",NA,NA,NA,NA
"332","bat",NA,NA,NA,NA
"333","bat",NA,NA,NA,NA
"334","bat",NA,NA,NA,NA
"335","bat",NA,NA,NA,NA
"336","bat",NA,NA,NA,NA
"337","bat",NA,NA,NA,NA
"338","bat",NA,NA,NA,NA
"339","bat",NA,NA,NA,NA
"340","bat",NA,NA,NA,NA
"341","bat",NA,NA,NA,NA
"342","bat",NA,NA,NA,NA
"343","bat",NA,NA,NA,NA
"344","bat",NA,NA,NA,NA
"345","bat",NA,NA,NA,NA
"346","bat",NA,NA,NA,NA
"347","bat",NA,NA,NA,NA
"348","bat",NA,NA,NA,NA
"349","bat",NA,NA,NA,NA
"350","bat",NA,NA,NA,NA
"351","bat",NA,NA,NA,NA
"352","bat",NA,NA,NA,NA
"353","bat",NA,NA,NA,NA
