"","timeStr","time","lat","lon","N","E","satellites","ellipsoid","PDOP","HDOP","VDOP","x","y","alt","geoid","MSL","surfaceAlt","GPS","Individual","local_time","buzz"
"1","6/2/2015 3:15:31",2015-06-02 03:15:31,28.8879,-113.0416,1,-1,6,1.7,1.7,1.4,NA,300912.4638,3197279.438,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:15:31",0
"2","6/2/2015 3:46:46",2015-06-02 03:46:46,28.885,-113.0403,1,-1,7,-5,1.6,1.4,NA,301029.1035,3196960.925,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:46:46",0
"3","6/2/2015 3:47:01",2015-06-02 03:47:01,28.8842,-113.0402,1,-1,8,-14.5,1.6,1.1,NA,301038.7632,3196870.223,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:47:01",0
"4","6/2/2015 3:47:16",2015-06-02 03:47:16,28.8835,-113.0402,1,-1,10,-13.7,1.4,0.9,NA,301041.1292,3196790.363,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:47:16",0
"5","6/2/2015 3:47:31",2015-06-02 03:47:31,28.8825,-113.0401,1,-1,9,-16.6,1.6,1,NA,301045.4731,3196683.678,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:47:31",0
"6","6/2/2015 3:47:46",2015-06-02 03:47:46,28.8819,-113.0401,1,-1,9,-16.4,1.6,1,NA,301046.8952,3196615.105,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:47:46",0
"7","6/2/2015 3:48:01",2015-06-02 03:48:01,28.8812,-113.0401,1,-1,9,-21.6,1.4,0.9,NA,301044.1518,3196531.268,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:48:01",0
"8","6/2/2015 3:48:16",2015-06-02 03:48:16,28.8806,-113.0403,1,-1,9,-20.5,1.4,0.9,NA,301025.2902,3196465.261,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:48:16",0
"9","6/2/2015 3:48:46",2015-06-02 03:48:46,28.8789,-113.0407,1,-1,10,-26.4,1.4,0.9,NA,300979.2743,3196286.09,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:48:46",0
"10","6/2/2015 3:49:01",2015-06-02 03:49:01,28.8782,-113.041,1,-1,9,-31.4,1.6,1,NA,300954.1137,3196203.748,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:49:01",0
"11","6/2/2015 3:49:16",2015-06-02 03:49:16,28.8774,-113.0418,1,-1,7,-29.4,1.6,1.3,NA,300875.5758,3196119.368,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:49:16",0
"12","6/2/2015 3:49:31",2015-06-02 03:49:31,28.8764,-113.0417,1,-1,8,-30.8,1.8,1.1,NA,300878.9344,3196002.722,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:49:31",0
"13","6/2/2015 3:49:46",2015-06-02 03:49:46,28.8755,-113.0419,1,-1,9,-25,1.6,1,NA,300855.8039,3195906.118,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:49:46",0
"14","6/2/2015 3:50:01",2015-06-02 03:50:01,28.8748,-113.0425,1,-1,9,-24.4,1.6,1,NA,300802.8461,3195834.047,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:50:01",0
"15","6/2/2015 3:50:16",2015-06-02 03:50:16,28.8741,-113.043,1,-1,8,-23.9,1.7,1.1,NA,300753.012,3195754.532,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:50:16",0
"16","6/2/2015 3:50:31",2015-06-02 03:50:31,28.8733,-113.0434,1,-1,9,-24,1.6,1,NA,300709.324,3195663.64,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:50:31",0
"17","6/2/2015 3:50:46",2015-06-02 03:50:46,28.8724,-113.0437,1,-1,9,-21.7,1.5,0.9,NA,300680.5746,3195561.959,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:50:46",0
"18","6/2/2015 3:51:01",2015-06-02 03:51:01,28.8712,-113.044,1,-1,8,-23.4,1.6,1,NA,300644.2507,3195436.02,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:51:01",0
"19","6/2/2015 3:51:16",2015-06-02 03:51:16,28.8705,-113.044,1,-1,8,-23.4,2.1,1.3,NA,300641.3039,3195359.392,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:51:16",0
"20","6/2/2015 3:51:31",2015-06-02 03:51:31,28.8697,-113.0443,1,-1,8,-27.7,1.7,1,NA,300618.2725,3195268.699,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:51:31",0
"21","6/2/2015 3:51:46",2015-06-02 03:51:46,28.8688,-113.0445,1,-1,8,-30.6,1.9,1.3,NA,300594.4822,3195171.737,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:51:46",0
"22","6/2/2015 3:52:01",2015-06-02 03:52:01,28.8679,-113.0446,1,-1,9,-29.6,1.7,1,NA,300578.8184,3195065.027,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:52:01",0
"23","6/2/2015 3:52:16",2015-06-02 03:52:16,28.867,-113.045,1,-1,10,-30.2,1.4,0.9,NA,300536.5457,3194971.525,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:52:16",0
"24","6/2/2015 3:52:31",2015-06-02 03:52:31,28.8661,-113.0454,1,-1,8,-33.3,1.9,1.3,NA,300501.9051,3194867.913,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:52:31",0
"25","6/2/2015 3:52:46",2015-06-02 03:52:46,28.8653,-113.0455,1,-1,7,-31.3,1.6,1.3,NA,300491.5641,3194786.979,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:52:46",0
"26","6/2/2015 3:53:01",2015-06-02 03:53:01,28.8644,-113.0458,1,-1,9,-32.1,1.7,1,NA,300454.5282,3194685.996,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:53:01",0
"27","6/2/2015 3:53:16",2015-06-02 03:53:16,28.8638,-113.0462,1,-1,9,-26.2,1.7,1,NA,300414.7017,3194611.852,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:53:16",0
"28","6/2/2015 3:53:31",2015-06-02 03:53:31,28.8628,-113.0466,1,-1,8,-28.4,1.8,1.1,NA,300380.5087,3194506.016,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:53:31",0
"29","6/2/2015 3:53:46",2015-06-02 03:53:46,28.862,-113.047,1,-1,9,-32,1.5,0.9,NA,300338.0095,3194418.43,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:53:46",0
"30","6/2/2015 3:54:01",2015-06-02 03:54:01,28.8612,-113.0476,1,-1,7,-34.3,1.6,1.3,NA,300270.9403,3194330.345,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:54:01",0
"31","6/2/2015 3:54:16",2015-06-02 03:54:16,28.8604,-113.0479,1,-1,8,-35.3,2.2,1.3,NA,300244.9746,3194239.519,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:54:16",0
"32","6/2/2015 3:54:31",2015-06-02 03:54:31,28.8595,-113.0478,1,-1,8,-37,1.8,1,NA,300250.3536,3194145.934,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:54:31",0
"33","6/2/2015 3:54:46",2015-06-02 03:54:46,28.8586,-113.048,1,-1,9,-33.4,1.7,1,NA,300230.6017,3194047.609,NA,NA,NA,NA,1145,"Viv12","6/1/2015 20:54:46",0
